Plot,CanolaLine,Week,DAS,Phenotypic Stage,Block,GWC,pH,Ammonium.N,Nitrate.N,Mineralization.N,Nitrification.N,Root.Length,Root.Surface.Area,Root.Diameter,Yield (kg/ha),Seed N (kg/ha),NUEcrop,PFP,TSW,OilEx,Protein
1301,NAM-0,2,61,End of Flowering,3,0.284109149,5.065,14.37270369,17.5347635,21.77,1.054877437,705.8662,102.3026,0.4613,2890.538033,102.0490031,2.551225078,72.26345083,3.19,49.2,23.28
1301,NAM-0,2,61,End of Flowering,3,0.284109149,5.065,14.37270369,17.5347635,21.77,1.054877437,705.8662,102.3026,0.4613,2890.538033,102.0490031,2.551225078,72.26345083,3.19,49.2,23.28
1306,NAM-17,2,61,End of Flowering,3,0.333889816,5.06,5.640161576,10.41248027,20.78,0.720892082,395.5224,64.4816,0.5189,2272.727273,87.424865,2.185621625,56.81818182,3.96,44.36,25.26
1309,NAM-13,2,61,End of Flowering,3,0.2784,4.99,3.874732456,9.798874877,43.91,1.198012999,417.3847,70.5436,0.538,1686.456401,60.5609997,1.514024992,42.16141002,3.96,44.56,27.24
1310,NAM-32,2,61,End of Flowering,3,0.317434211,5.03,6.812636248,19.83742191,26.56,1.12466384,569.5945,101.0116,0.5645,2868.274583,114.3935076,2.859837689,71.70686456,2.87,47,24.57
1313,YN04-C1213,2,61,End of Flowering,3,0.28,5,5.85862996,8.798862749,24.14,1.323358314,577.0905,95.3017,0.5257,3732.83859,140.232073,3.505801825,93.32096475,3.43,50.06,22.31
1316,NAM-37,2,61,End of Flowering,3,0.425,4.95,9.621863232,13.05908331,26.55,NA,614.2053,89.6161,0.4644,2940.630798,111.849282,2.796232049,73.51576994,3.14,46.84,22.57
1101,NAM-32,3,83,Physiological Maturity,1,0.16909621,5.08,13.0363859,16.9857246,32.03,NA,281.6824,41.4122,0.468,2641.929499,93.23894016,2.330973504,66.04823748,4.5,46.01,22.95
1102,NAM-0,3,83,Physiological Maturity,1,0.167638484,5.08,6.05443799,11.80561599,27.82,NA,532.1518,104.8261,0.627,2864.564007,99.29474834,2.482368708,71.61410019,3.19,49.58,22.5
1105,NAM-13,3,83,Physiological Maturity,1,0.219512195,5.16,3.907247999,10.73547061,21.87,NA,666.7209,76.4664,0.3651,3187.384045,107.1460048,2.678650121,79.68460111,3.67,49.16,21.4
1107,NAM-17,3,83,Physiological Maturity,1,0.197309417,5.09,2.99913315,8.53959081,24.76,NA,360.5912,102.119,0.9014,2558.441558,97.39725108,2.434931277,63.96103896,3.4,47.95,22.4
